scenario,description,real_estate_mode,lp_initial_capital,initial_re_cash_deployed,initial_re_gross_asset_value,initial_re_debt_balance,initial_re_assumed_liabilities,initial_re_net_equity_value,initial_re_entry_equity_cushion,initial_re_value_to_new_equity_multiple,final_re_gross_asset_value,final_re_debt_balance,final_re_assumed_liabilities,final_re_net_equity_value,final_re_dscr,total_re_debt_service,total_re_capex,total_deal_refi_proceeds,total_re_cashflow_shortfall,total_acquisition_equity_required,total_acquisition_funded_from_retained_cash,total_acquisition_funded_from_reserve,total_acquisition_failed_loss,total_acquisition_unfunded_shortfall,years_modelled,lp_hurdle_moic,lp_hurdle_amount,lp_cash_distributions,lp_cash_moic,lp_economic_moic,lp_irr,lp_cash_irr,lp_economic_irr,gp_cash_irr_if_co_investment,gp_total_value_multiple_if_co_investment,lp_hurdle_achieved,year_hurdle_achieved,liquidity_constrained,final_fund_nav,final_refinance_liability,gp_cumulative_fees,gp_residual_nav,gp_total_economics,gp_residual_nav_pct_initial_lp_capital,gp_total_economics_pct_initial_lp_capital,gp_cumulative_fees_first_n_years,gp_average_annual_fees_first_n_years,gp_survivability_risk,years_with_zero_lp_distribution,years_with_distribution_below_target_yield,longest_zero_distribution_streak,longest_below_target_yield_streak,years_until_first_distribution,lp_time_under_1x_cash_moic,lp_time_under_1x_economic_moic,lp_final_unrecovered_hurdle,lp_redeemed_by_model_end,total_re_cashflow_generated,total_hf_harvest_generated,total_reinvested_into_hf,total_distributed_to_lp,total_added_to_reserve,pct_total_cash_distributed,pct_total_cash_reinvested,pct_total_cash_reserved,years_until_lp_1x_cash_return,years_until_lp_2x_cash_return,lp_cashflow_profile_type,hurdle_completion_trigger_enabled,backend_liquidity_strategy_enabled,backend_liquidity_target_years,backend_liquidity_refi_first,backend_liquidity_max_refi_pct_of_re_nav,backend_liquidity_max_hf_liquidation_pct,hurdle_trigger_executed,hurdle_trigger_year,total_trigger_cash_from_retained_cash,total_trigger_cash_from_reserve,total_trigger_cash_from_hf_liquidation,total_trigger_cash_from_refi,total_trigger_cash_from_re_sale,lp_hurdle_shortfall_after_final_trigger,primary_flag,all_flags
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Moderate real estate and hedge fund performance baseline; tests whether ordinary cash routing can reach the LP cash hurdle. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,18624546.715784073,0.0,0.0,18624546.715784073,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,7399618.446350108,0.7399618446350108,2.0,-0.025991313144201,-0.025991313144201,0.04454963737151818,,,False,,True,57363247.02086055,1551232.4505599998,911209.204420566,0.0,911209.204420566,0.0,0.0911209204420566,165739.470336,33147.8940672,True,0,0,0,0,1,20,0,12600381.553649891,False,24109800.388125196,5132129.590825348,18058370.946452864,7399618.446350108,5335173.0367075745,0.2530482239604785,0.6175505843647108,0.1824494156352893,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Moderate real estate and hedge fund performance baseline; tests whether ordinary cash routing can reach the LP cash hurdle. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,15308019.796808789,0.0,0.0,15308019.796808789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,20000000.0,20000000.0,2.0,2.0,0.06859043858335379,0.06859043858335379,0.06859043858335379,,,True,15.0,True,19204694.11805449,2068309.93408,612721.7817127905,19204694.11805449,19817415.89976728,1.920469411805449,1.981741589976728,165739.470336,33147.8940672,True,0,0,0,0,1,13,0,0.0,True,14922024.814236011,3737324.753504847,5971537.345672743,20000000.0,3358137.438197687,1.0718487226680677,0.3200292338161997,0.1799707661838004,14.0,15.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,15.0,0.0,3858137.438197687,4743877.843851885,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__base_hit_everyone_happy__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Moderate real estate and hedge fund performance baseline; tests whether ordinary cash routing can reach the LP cash hurdle. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,14719249.804623835,0.0,0.0,14719249.804623835,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,20000000.0,20000000.0,2.0,2.0,0.08935540223102967,0.08935540223102967,0.08935540223102967,,,True,14.0,True,13626659.897203574,2485949.44,559732.4824161447,13626659.897203574,14186392.37961972,1.3626659897203575,1.4186392379619719,165739.470336,33147.8940672,True,0,0,0,0,1,8,0,0.0,True,13415170.515659655,2994179.6826900635,2311693.5456179543,20000000.0,820467.509917486,1.2188173058803629,0.14087660496455492,0.05,9.0,14.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,14.0,0.0,1320467.509917486,2916393.907268236,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__fast_success_crypto_bull__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Strong hedge fund sleeve over a shorter horizon; tests whether liquid alpha can accelerate LP cash returns. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,15351945.49469002,0.0,0.0,15351945.49469002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,8956322.027265701,0.8956322027265702,2.0,-0.009025452499937137,-0.009025452499937137,0.04528573786605761,,,False,,True,100323327.39778632,1478074.4447324998,753714.0044159018,0.0,753714.0044159018,0.0,0.07537140044159019,148921.2594705,29784.251894099998,True,0,0,0,0,1,20,0,11043677.972734299,False,19045749.240100674,18345488.672565337,24269291.614856135,8956322.027265701,5643698.715276667,0.23952996817556055,0.6490636033912932,0.1509363966087067,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__fast_success_crypto_bull__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Strong hedge fund sleeve over a shorter horizon; tests whether liquid alpha can accelerate LP cash returns. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,12857012.661268447,0.0,0.0,12857012.661268447,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,20000000.0,20000000.0,2.0,2.0,0.0733113323750818,0.0733113323750818,0.0733113323750818,,,True,14.0,True,21526363.409164265,1970765.92631,479271.39273952896,21526363.409164265,22005634.801903795,2.1526363409164264,2.2005634801903797,148921.2594705,29784.251894099998,True,0,0,0,0,1,12,0,0.0,True,11230587.528370991,7969381.6097624125,6556928.902416263,20000000.0,3043055.6666504396,1.0416683410327803,0.3415072626024918,0.15849273739750822,13.0,14.0,BACKEND_HEAVY,True,True,"5, 7, 10",True,0.35,0.5,True,14.0,0.0,3543055.6666504396,4886193.837972858,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__fast_success_crypto_bull__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Strong hedge fund sleeve over a shorter horizon; tests whether liquid alpha can accelerate LP cash returns. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,12482536.564338297,0.0,0.0,12482536.564338297,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.0,20000000.0,20000000.0,2.0,2.0,0.09569775244502754,0.09569775244502754,0.09569775244502754,,,True,13.0,True,11112152.277604522,2568476.88730151,438079.0220772126,11112152.277604522,11550231.299681734,1.1112152277604521,1.1550231299681735,148921.2594705,29784.251894099998,True,0,0,0,0,1,8,0,0.0,True,10141455.454517609,5241120.194061462,2045330.3375837875,20000000.0,769128.7824289534,1.3001723805497718,0.13296410070134906,0.049999999999999996,9.0,13.0,AGGRESSIVE_DISTRIBUTION,True,True,"5, 7, 10",True,0.35,0.5,True,13.0,0.0,1269128.7824289536,3594277.801703206,176770.66605151026,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; LP_REDEEMED_VIA_REFI; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__slow_grind__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Slow real estate growth and uneven hedge fund returns; tests long-duration cash distribution drift. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,12630552.86581601,0.0,0.0,12630552.86581601,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,5419309.627466136,0.5419309627466136,2.0,-0.053325453357835007,-0.053325453357835007,0.04229290521512841,,,False,,True,43564304.701717466,1407703.02408,619582.9298724016,0.0,619582.9298724016,0.0,0.06195829298724016,132703.02408,26540.604816,True,0,0,0,0,1,20,0,14580690.372533865,False,15053193.800531674,5004839.2163989935,12535303.731798299,5419309.627466136,3511122.6817462347,0.27018150896908893,0.6249517946858222,0.1750482053141777,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
policy_set_comparison__slow_grind__balanced_yield_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Slow real estate growth and uneven hedge fund returns; tests long-duration cash distribution drift. | Moderate LP cash payout, some HF reinvestment, reserve build, active trigger, and planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,12382894.966486285,0.0,0.0,12382894.966486285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,20000000.0,20000000.0,2.0,2.0,0.05414219419921795,0.05414219419921795,0.05414219419921795,,,True,19.0,True,17547059.903764468,1876937.3654399998,582434.2449729427,17547059.903764468,18129494.148737412,1.7547059903764468,1.8129494148737413,132703.02408,26540.604816,True,0,0,0,0,1,16,0,0.0,True,14022295.524566395,4894291.5729302205,6164405.286542008,20000000.0,3293888.2622063006,1.0572731696748174,0.3258730158231235,0.17412698417687658,17.0,19.0,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,True,19.0,0.0,3793888.2622063006,4870880.823605392,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__slow_grind__aggressive_lp_extinguishment,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Slow real estate growth and uneven hedge fund returns; tests long-duration cash distribution drift. | High LP cash routing, larger HF harvest, active trigger, and earlier recap/refi event.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,12140093.104398318,0.0,0.0,12140093.104398318,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.0,20000000.0,20000000.0,2.0,2.0,0.06957857383111632,0.06957857383111632,0.06957857383111632,,,True,18.0,True,11296290.38865683,2300168.34,546013.9656597478,11296290.38865683,11842304.354316577,1.129629038865683,1.1842304354316577,132703.02408,26540.604816,True,0,0,0,0,1,11,0,0.0,True,13027085.39639892,3548497.6118246214,2308912.5706423004,20000000.0,828779.1504111771,1.2065940600748417,0.13929600964845665,0.05,12.0,18.0,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,True,18.0,0.0,1328779.1504111777,2933161.222418759,0.0,0.0,0.0,HURDLE_COMPLETION_TRIGGER_EXECUTED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HURDLE_COMPLETION_TRIGGER_EXECUTED; HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT; LP_REDEEMED_VIA_HF_LIQUIDATION; REFINANCE_EVENT_OCCURRED; REFI_DEPENDENT_LP_OUTCOME
policy_set_comparison__hedge_fund_failure_re_survival__backend_heavy_compounding,"Compares three high-level LP distribution and liquidity engineering policies: backend-heavy compounding, balanced yield plus compounding, and aggressive LP extinguishment. | Hedge fund sleeve suffers major impairment, while real estate survives and cash-flows. | Low interim LP distributions, high HF reinvestment, conservative active trigger, and a later planned refinance.",top_down,10000000.0,8500000.0,8500000.0,0.0,0.0,8500000.0,0.0,,13928239.742468357,0.0,0.0,13928239.742468357,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,20000000.0,5559905.366980401,0.5559905366980401,2.0,-0.05117133622556158,-0.05117133622556158,0.04254625091644826,,,False,,True,33218967.937068515,1442545.4714355469,716527.6460058251,0.0,716527.6460058251,0.0,0.07165276460058251,147440.01486328125,29488.00297265625,True,0,0,0,0,1,20,0,14440094.6330196,False,19387810.11643885,1198989.3612854276,12471978.622763108,5559905.366980401,3997460.9594163126,0.27007138108069867,0.6058240687804959,0.19417593121950413,,,MODERATE_YIELD,True,True,"5, 7, 10",True,0.35,0.5,False,,0.0,0.0,0.0,0.0,0.0,0.0,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; REFINANCE_EVENT_OCCURRED; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
