scenario,flag,severity,explanation
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,REFINANCE_EVENT_OCCURRED,info,One or more configured refinance events generated proceeds.
